"Sample_ID","Ablabesmyia.longistyla","Chironomini.sp_","Chironomus.acutiventris","Chironomus.annularius.cingulatus","Chironomus.cf_.melanotus","Chironomus.nuditarsis","Chironomus.nudiventris","Chironomus.plumosus","Chironomus.riparius.piger","Chironomus.sp_","Chironomus.uligin_.pseudoth_.luridus","Cladotanytarsus.sp_","Corynoneura.sp_","Cricotopus.annulator","Cricotopus.sp_","Cricotopus.sylvestris.Gr_","Cryptochironomus.sp_","Dicrotendipes.nervosus","Dicrotendipes.sp_","Einfeldia.insolita.Gr_","Einfeldia.pagana.Gr_","Endochironomus.albipennis","Glyptotendipes.glaucus.pallens","Glyptotendipes.paripes","Glyptotendipes.sp_","Harnischia.sp_","Kiefferulus.sp_","Kiefferulus.tendipediformis","Microtendipes.pedellus","Microtendipes.sp_","Nanocladius.bicolor","Orthocladiinae.sp_","Orthocladius.sp_","Parachironomus.sp_","Paracladius.conversus","Parakiefferiella.bathophila","Paratanytarsus.cf_.lauterborni","Paratanytarsus.dissimilis","Paratanytarsus.sp_","Phaenopsectra.sp_","Polypedilum.nubeculosum","Polypedilum.scalaenum","Polypedilum.sp_","Procladius.sp_","Prodiamesa.olivacea","Psectrotanypus.varius","Rheotanytarsus.sp_","Tanypodinae.sp_","Tanypus.sp_","Tanytarsini.sp_","Tanytarsus.sp_","Thienemannimyia.Gr_..Gen_.indet_"
"96_A21",0,0,2546,0,0,0,0,0,0,0,0,9677,0,0,0,0,509,0,0,0,0,0,0,0,0,1019,509,0,509,0,0,0,0,0,0,0,0,0,0,0,4584,0,0,0,0,0,0,0,0,0,5093,0
"96_A29",0,0,0,0,0,0,0,0,0,2037,0,4584,0,509,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,2037,0
"96_A35",0,1019,509,0,0,0,0,509,0,2037,0,1528,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4584,0,0,0,0,0,0,0,0,0,1019,0
"96_A36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,0
"96_A37",0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96_B12a",0,0,0,0,0,0,0,0,0,0,0,2546,0,0,0,0,0,0,1528,0,0,0,0,509,0,0,0,509,1528,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,8149,0
"96_H1",0,0,0,0,0,0,0,509,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961110_A1",0,509,0,0,0,0,0,0,0,0,0,12732,0,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,1528,0,0,0,0,0,0,1019,0
"961110_A10",0,1019,0,0,0,0,0,0,0,0,0,1019,0,0,10186,0,0,1019,4074,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3056,0
"961110_A11",0,0,509,0,0,0,0,0,0,0,0,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,8658,0
"961110_A12",0,509,0,0,0,0,0,0,0,0,0,4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,0
"961110_A14",0,1019,1019,0,0,0,0,0,0,0,0,7130,0,0,2037,0,509,0,509,0,0,0,0,0,0,0,0,0,1019,0,0,1019,0,0,0,0,0,0,509,0,509,0,0,0,0,0,0,0,0,4074,8149,0
"961110_A15",0,0,509,0,0,0,0,0,0,2037,0,11205,0,0,2037,509,0,509,1528,0,0,0,0,0,0,509,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,1528,509,0,0,0,0,0,0,0,2037,2546,0
"961110_A16",0,1019,1019,0,0,0,0,0,509,0,0,2546,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,509,0,0,1528,0,0,0,0,0,0,1528,0
"961110_A17",0,509,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,1019,1019,0
"961110_A18",0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,1528,0
"961110_A23",0,0,509,0,0,0,0,0,0,0,0,3565,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,1019,0
